question |Questions |Question |questions |question,2014100223,8580,15,0.0017482517482517483
question |Questions |Question |questions |question,2014100222,12009,27,0.0022483137646764927
question |Questions |Question |questions |question,2014100221,14828,32,0.002158079309414621
question |Questions |Question |questions |question,2014100220,15090,27,0.0017892644135188867
question |Questions |Question |questions |question,2014093023,7216,11,0.001524390243902439
question |Questions |Question |questions |question,2014093020,2478,10,0.004035512510088781
question |Questions |Question |questions |question,2014093022,2524,11,0.004358161648177496
question |Questions |Question |questions |question,2014093021,2547,8,0.0031409501374165686
question |Questions |Question |questions |question,2014100321,9080,16,0.001762114537444934
question |Questions |Question |questions |question,2014100322,8671,13,0.0014992503748125937
question |Questions |Question |questions |question,2014100320,9381,20,0.0021319688732544507
question |Questions |Question |questions |question,2014100323,6929,13,0.001876172607879925
question |Questions |Question |questions |question,2014100123,8836,9,0.0010185604345857855
question |Questions |Question |questions |question,2014100122,10378,30,0.0028907303912121796
question |Questions |Question |questions |question,2014100121,12311,26,0.0021119324181626186
question |Questions |Question |questions |question,2014100200,11724,9,7.676560900716479E-4
question |Questions |Question |questions |question,2014100201,6861,6,8.745080891998251E-4
question |Questions |Question |questions |question,2014100309,9997,22,0.002200660198059418
question |Questions |Question |questions |question,2014100307,6926,7,0.0010106843777071904
question |Questions |Question |questions |question,2014100204,8387,3,3.576964349588649E-4
question |Questions |Question |questions |question,2014100308,8532,12,0.0014064697609001407
question |Questions |Question |questions |question,2014100205,14882,5,3.3597634726515254E-4
question |Questions |Question |questions |question,2014100305,3838,3,7.81657113079729E-4
question |Questions |Question |questions |question,2014100202,5853,6,0.0010251153254741158
question |Questions |Question |questions |question,2014100306,5526,2,3.619254433586681E-4
question |Questions |Question |questions |question,2014100203,5613,6,0.0010689470871191875
question |Questions |Question |questions |question,2014100303,5043,2,3.96589331746976E-4
question |Questions |Question |questions |question,2014100208,9640,16,0.0016597510373443983
question |Questions |Question |questions |question,2014100304,4725,2,4.232804232804233E-4
question |Questions |Question |questions |question,2014100209,12321,27,0.002191380569758948
question |Questions |Question |questions |question,2014100301,4480,9,0.0020089285714285712
question |Questions |Question |questions |question,2014100206,9203,7,7.606215364555037E-4
question |Questions |Question |questions |question,2014100302,8095,4,4.941321803582458E-4
question |Questions |Question |questions |question,2014100207,9445,18,0.0019057702488088936
question |Questions |Question |questions |question,2014100300,6707,12,0.0017891754882958103
question |Questions |Question |questions |question,2014100106,45483,8,1.7588989292702768E-4
question |Questions |Question |questions |question,2014100105,7742,3,3.8749677086024286E-4
question |Questions |Question |questions |question,2014100104,8731,2,2.290688351849731E-4
question |Questions |Question |questions |question,2014100103,1127,0,0.0
question |Questions |Question |questions |question,2014100102,2940,2,6.802721088435374E-4
question |Questions |Question |questions |question,2014100101,3598,5,0.0013896609227348527
question |Questions |Question |questions |question,2014100100,1816,3,0.0016519823788546256
question |Questions |Question |questions |question,2014100109,10999,21,0.0019092644785889627
question |Questions |Question |questions |question,2014100108,14670,21,0.0014314928425357874
question |Questions |Question |questions |question,2014100107,32104,10,3.114876650884625E-4
question |Questions |Question |questions |question,2014100210,10300,41,0.0039805825242718446
question |Questions |Question |questions |question,2014100211,11008,12,0.0010901162790697674
question |Questions |Question |questions |question,2014100212,11567,29,0.002507132359298003
question |Questions |Question |questions |question,2014100316,10537,20,0.0018980734554427255
question |Questions |Question |questions |question,2014100213,10976,27,0.002459912536443149
question |Questions |Question |questions |question,2014100317,9832,15,0.0015256305939788447
question |Questions |Question |questions |question,2014100214,12210,37,0.0030303030303030303
question |Questions |Question |questions |question,2014100318,9075,12,0.001322314049586777
question |Questions |Question |questions |question,2014100215,11832,27,0.002281947261663286
question |Questions |Question |questions |question,2014100319,8645,15,0.001735106998264893
question |Questions |Question |questions |question,2014100216,10725,74,0.0068997668997669
question |Questions |Question |questions |question,2014100312,10661,24,0.002251195947847294
question |Questions |Question |questions |question,2014100217,9835,52,0.0052872394509405184
question |Questions |Question |questions |question,2014100313,9887,19,0.0019217153838373621
question |Questions |Question |questions |question,2014100218,9907,42,0.004239426668012516
question |Questions |Question |questions |question,2014100314,9820,10,0.0010183299389002036
question |Questions |Question |questions |question,2014100219,11100,36,0.003243243243243243
question |Questions |Question |questions |question,2014100420,8163,7,8.575278696557638E-4
question |Questions |Question |questions |question,2014100315,10271,19,0.0018498685619705967
question |Questions |Question |questions |question,2014100120,12122,30,0.0024748391354561953
question |Questions |Question |questions |question,2014100421,8099,9,0.0011112483022595382
question |Questions |Question |questions |question,2014100422,8432,13,0.0015417457305502847
question |Questions |Question |questions |question,2014100423,6306,12,0.0019029495718363464
question |Questions |Question |questions |question,2014100310,10343,29,0.002803828676399497
question |Questions |Question |questions |question,2014100311,11400,14,0.0012280701754385965
question |Questions |Question |questions |question,2014100115,14152,30,0.0021198417184850197
question |Questions |Question |questions |question,2014100114,11535,47,0.004074555700043347
question |Questions |Question |questions |question,2014100117,11365,28,0.0024637043554773426
question |Questions |Question |questions |question,2014100116,10904,19,0.0017424798239178284
question |Questions |Question |questions |question,2014100111,9571,42,0.004388256190575698
question |Questions |Question |questions |question,2014100110,9126,32,0.0035064650449265836
question |Questions |Question |questions |question,2014100823,5727,13,0.0022699493626680634
question |Questions |Question |questions |question,2014100113,11543,27,0.00233907996188166
question |Questions |Question |questions |question,2014100822,900,4,0.0044444444444444444
question |Questions |Question |questions |question,2014100112,11651,43,0.003690670328727148
question |Questions |Question |questions |question,2014100119,11403,26,0.00228010172761554
question |Questions |Question |questions |question,2014100118,10294,51,0.004954342335340975
question |Questions |Question |questions |question,2014100604,4638,0,0.0
question |Questions |Question |questions |question,2014100605,8675,0,0.0
question |Questions |Question |questions |question,2014100700,5207,6,0.0011522949875168043
question |Questions |Question |questions |question,2014100914,3191,6,0.001880288310874334
question |Questions |Question |questions |question,2014100602,8176,8,9.784735812133072E-4
question |Questions |Question |questions |question,2014100915,1000,1,0.001
question |Questions |Question |questions |question,2014100603,9384,1,1.0656436487638534E-4
question |Questions |Question |questions |question,2014100912,2545,12,0.004715127701375246
question |Questions |Question |questions |question,2014100608,13680,14,0.0010233918128654971
question |Questions |Question |questions |question,2014100913,6771,11,0.0016245753950671984
question |Questions |Question |questions |question,2014100609,13287,15,0.001128923007450892
question |Questions |Question |questions |question,2014100810,6053,13,0.0021476953576738808
question |Questions |Question |questions |question,2014100606,4334,2,4.6146746654360867E-4
question |Questions |Question |questions |question,2014100607,6194,6,9.686793671294801E-4
question |Questions |Question |questions |question,2014100707,4802,2,4.1649312786339027E-4
question |Questions |Question |questions |question,2014100813,7061,5,7.08114997875655E-4
question |Questions |Question |questions |question,2014100708,5400,4,7.407407407407407E-4
question |Questions |Question |questions |question,2014100814,6011,13,0.0021627017135252037
question |Questions |Question |questions |question,2014100705,2740,1,3.64963503649635E-4
question |Questions |Question |questions |question,2014100811,6604,33,0.004996971532404603
question |Questions |Question |questions |question,2014100706,3398,2,5.885815185403178E-4
question |Questions |Question |questions |question,2014100812,5896,21,0.0035617367706919944
question |Questions |Question |questions |question,2014100817,6743,19,0.002817736912353552
question |Questions |Question |questions |question,2014100600,15771,11,6.974827214507641E-4
question |Questions |Question |questions |question,2014100703,5792,1,1.7265193370165745E-4
question |Questions |Question |questions |question,2014100818,7400,20,0.002702702702702703
question |Questions |Question |questions |question,2014100601,8669,15,0.0017303033798592687
question |Questions |Question |questions |question,2014100704,3010,0,0.0
question |Questions |Question |questions |question,2014100815,5628,12,0.0021321961620469083
question |Questions |Question |questions |question,2014100701,13455,6,4.459308807134894E-4
question |Questions |Question |questions |question,2014100816,7857,12,0.0015273004963726614
question |Questions |Question |questions |question,2014100702,8524,1,1.1731581417175035E-4
question |Questions |Question |questions |question,2014100509,9287,10,0.001076773985140519
question |Questions |Question |questions |question,2014100508,6498,7,0.0010772545398584179
question |Questions |Question |questions |question,2014100819,4300,11,0.0025581395348837207
question |Questions |Question |questions |question,2014100507,16911,4,2.365324345100822E-4
question |Questions |Question |questions |question,2014100403,6749,2,2.96340198547933E-4
question |Questions |Question |questions |question,2014100506,11836,10,8.448800270361609E-4
question |Questions |Question |questions |question,2014100402,6613,2,3.0243459851807047E-4
question |Questions |Question |questions |question,2014100505,6487,3,4.624633883150917E-4
question |Questions |Question |questions |question,2014100401,4570,2,4.37636761487965E-4
question |Questions |Question |questions |question,2014100504,3861,11,0.002849002849002849
question |Questions |Question |questions |question,2014100400,5285,3,5.676442762535478E-4
question |Questions |Question |questions |question,2014100503,4540,2,4.405286343612335E-4
question |Questions |Question |questions |question,2014100709,5572,17,0.0030509691313711416
question |Questions |Question |questions |question,2014100407,7111,8,0.0011250175783996624
question |Questions |Question |questions |question,2014100406,10763,3,2.78732695345164E-4
question |Questions |Question |questions |question,2014100501,6148,6,9.759271307742355E-4
question |Questions |Question |questions |question,2014100405,10366,5,4.823461315840247E-4
question |Questions |Question |questions |question,2014100500,11540,5,4.332755632582322E-4
question |Questions |Question |questions |question,2014100404,3086,2,6.480881399870382E-4
question |Questions |Question |questions |question,2014100409,9932,21,0.0021143777688280305
question |Questions |Question |questions |question,2014100408,10458,14,0.0013386880856760374
question |Questions |Question |questions |question,2014100903,4141,7,0.0016904129437333977
question |Questions |Question |questions |question,2014100613,12260,11,8.972267536704731E-4
question |Questions |Question |questions |question,2014100904,4854,2,4.1203131437989287E-4
question |Questions |Question |questions |question,2014100614,10247,13,0.0012686639992192837
question |Questions |Question |questions |question,2014100905,7777,3,3.8575286100038574E-4
question |Questions |Question |questions |question,2014100615,8801,20,0.0022724690376093627
question |Questions |Question |questions |question,2014100710,7431,13,0.0017494280715919794
question |Questions |Question |questions |question,2014100906,3505,4,0.0011412268188302425
question |Questions |Question |questions |question,2014100616,10833,20,0.0018462106526354657
question |Questions |Question |questions |question,2014100711,13474,8,5.937360843105239E-4
question |Questions |Question |questions |question,2014100617,11523,21,0.0018224420723769851
question |Questions |Question |questions |question,2014100900,3864,18,0.004658385093167702
question |Questions |Question |questions |question,2014100618,10834,23,0.0021229462802289088
question |Questions |Question |questions |question,2014100901,3052,9,0.002948885976408912
question |Questions |Question |questions |question,2014100619,10472,26,0.002482811306340718
question |Questions |Question |questions |question,2014100902,4916,7,0.0014239218877135883
question |Questions |Question |questions |question,2014100716,9756,28,0.002870028700287003
question |Questions |Question |questions |question,2014100800,3418,10,0.002925687536571094
question |Questions |Question |questions |question,2014100717,12018,26,0.002163421534365119
question |Questions |Question |questions |question,2014100801,4912,11,0.002239413680781759
